created_at,entry_id,field1,field2
2020-11-19 11:02:14 CAT,93,30.7,"36.00

"
2020-11-19 11:02:45 CAT,94,30.7,"36.00

"
2020-11-19 11:03:00 CAT,95,30.7,"36.00

"
2020-11-19 11:03:15 CAT,96,30.7,"35.00

"
2020-11-19 11:03:30 CAT,97,30.7,"35.00

"
2020-11-19 11:04:00 CAT,98,31.1,"35.00

"
2020-11-19 11:04:15 CAT,99,31.1,"35.00

"
2020-11-19 11:04:30 CAT,100,31.1,"35.00

"
2020-11-19 11:04:46 CAT,101,31.1,"35.00

"
2020-11-19 11:05:47 CAT,102,30.7,"35.00

"
2020-11-19 11:06:03 CAT,103,31.1,"35.00

"
2020-11-19 11:06:18 CAT,104,31.1,"35.00

"
2020-11-19 11:06:33 CAT,105,31.1,"34.00

"
2020-11-19 11:06:48 CAT,106,31.1,"34.00

"
2020-11-19 11:07:04 CAT,107,31.1,"34.00

"
2020-11-19 11:07:19 CAT,108,31.1,"35.00

"
2020-11-19 11:07:34 CAT,109,31.1,"34.00

"
2020-11-19 11:07:49 CAT,110,31.1,"34.00

"
2020-11-19 11:08:04 CAT,111,31.1,"34.00

"
2020-11-19 11:08:19 CAT,112,31.1,"34.00

"
2020-11-19 11:08:35 CAT,113,31.1,"34.00

"
2020-11-19 11:08:50 CAT,114,31.1,"34.00

"
2020-11-19 11:09:05 CAT,115,31.1,"34.00

"
2020-11-19 11:09:35 CAT,116,31.1,"34.00

"
2020-11-19 11:09:50 CAT,117,31.1,"34.00

"
2020-11-19 11:10:06 CAT,118,31.1,"34.00

"
2020-11-19 11:10:21 CAT,119,31.1,"35.00

"
2020-11-19 11:10:36 CAT,120,30.7,"35.00

"
2020-11-19 11:10:51 CAT,121,31.1,"35.00

"
2020-11-19 11:11:07 CAT,122,31.1,"35.00

"
2020-11-19 11:11:53 CAT,123,31.1,"35.00

"
2020-11-19 11:12:08 CAT,124,31.1,"35.00

"
2020-11-19 11:12:23 CAT,125,31.1,"36.00

"
2020-11-19 11:12:38 CAT,126,31.1,"35.00

"
2020-11-19 11:12:54 CAT,127,31.1,"35.00

"
2020-11-19 11:13:09 CAT,128,31.1,"35.00

"
2020-11-19 11:13:24 CAT,129,31.1,"35.00

"
2020-11-19 11:13:39 CAT,130,31.1,"35.00

"
2020-11-19 11:13:54 CAT,131,31.1,"35.00

"
2020-11-19 11:14:10 CAT,132,31.1,"35.00

"
2020-11-19 11:14:40 CAT,133,31.1,"35.00

"
2020-11-19 11:16:17 CAT,134,31.1,"36.00

"
2020-11-19 11:16:33 CAT,135,31.1,"35.00

"
2020-11-19 11:16:48 CAT,136,31.1,"35.00

"
